Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request - Quarkus Reactive,100,1243,1152,1958,2171,2350,276,2617,0.000%,7.08567,34.90,1.06
HTTP Request - Quarkus Imperative JDBC,100,971,966,1236,1376,1494,319,1534,0.000%,9.47239,1866.20,1.48
HTTP Request - Quarkus Imperative JPA (Native),100,10498,10579,11150,11579,11860,8481,11980,0.000%,.93691,184.58,0.15
HTTP Request - Quarkus Imperative JPA (ORM),100,9936,9861,10487,10959,11167,9212,11227,0.000%,.99618,196.26,0.15
HTTP Request - Spring Reactive,100,911,927,1317,1369,1460,222,1473,0.000%,9.71534,1912.08,1.45
HTTP Request - Spring Imperative JDBC (Native),100,897,894,1218,1272,1402,248,1417,0.000%,9.91277,1953.76,1.55
HTTP Request - Spring Imperative JDBC (ORM),100,5102,5029,5422,6107,6263,3959,6309,0.000%,1.91626,243.88,0.29
HTTP Request - Spring Imperative JPA (Native),100,10607,10670,11321,11481,11629,9253,12025,0.000%,.92354,182.03,0.14
HTTP Request - Spring Imperative JPA (ORM),100,9808,9851,10153,10288,10493,8595,10531,0.000%,1.00602,198.28,0.15
HTTP Request - Nodejs,100,892,947,1199,1263,1447,268,1527,0.000%,9.99800,1969.34,1.49
TOTAL,1000,5086,2617,10691,11001,11545,222,12025,0.000%,1.91555,327.23,0.29
